4,3
2,0
3,3
6,8
9,14
9,14
7,14
16,14
16,14
18,12
23,20
27,24
27,24
19,19
17,20
18,24
18,24
23,27
0,1
1,3
2,5
3,8
3,9
5,13
13,21
15,10
2,5
2,7
2,5
2,6
6,16
10,19
15,20
17,21
1,1
4,5
4,7
2,7
2,12
3,11
7,11
15,15
18,15
18,16
19,20
28,19
28,16
30,18
30,18
30,21
34,23
43,31
9,4
1,2
2,2
2,3
2,3
2,3
2,6
7,7
7,7
0,0
0,0
2,1
2,1
3,4
5,4
2,3
7,6
9,8
18,18
1,4
2,5
3,7
3,7
9,9
3,6
5,9
5,9
5,9
7,10
7,10
11,22
11,21
0,2
2,3
2,4
2,5
5,10
6,10
10,11
12,14
14,17
16,18
16,19
25,28
26,30
41,41
3,3
4,5
8,6
20,21
22,26
22,27
21,22
20,20
22,19
28,20
31,22
31,22
46,30
49,35
50,36
54,37
54,36
56,39
62,45
63,46
62,48
62,49
63,49
67,58
69,67
70,64
72,66
76,69
18,24
21,28
0,0
4,5
4,6
4,6
5,7
9,11
8,15
12,21
12,21
16,23
17,23
19,25
20,25
21,30
21,30
22,30
23,30
22,37
23,37
27,44
31,45
39,48
44,52
24,13
24,17
27,17
29,18
4,6
13,16
14,16
14,17
14,17
22,26
22,26
22,25
22,25
23,24
7,11
5,8
2,2
11,7
11,7
14,13
26,21
26,21
31,25
31,25
2,2
3,4
8,5
12,12
12,12
12,13
13,12
2,1
5,6
9,6
2,2
3,5
17,11
17,12
17,13
14,16
14,18
14,23
14,23
15,25
17,26
19,26
21,32
12,18
12,17
10,16
10,17
10,17
11,20
12,23
13,25
1,1
1,4
3,5
5,8
10,15
11,12
11,12
12,12
12,12
15,13
15,13
18,19
20,21
21,23
27,32
29,28
35,32
36,34
33,33
38,41
38,41
43,47
46,50
36,41
40,40
42,41
37,37
37,37
34,39
34,40
35,40
35,40
34,30
45,36
54,43
55,44
55,44
63,52
64,52
66,53
70,53
74,58
71,57
72,58
72,59
73,62
28,28
25,29
31,31
39,39
41,40
45,44
50,45
18,11
18,12
19,13
20,15
20,15
20,15
26,16
0,0
6,1
11,3
15,6
18,6
18,6
24,11
30,21
30,22
1,0
2,1
2,1
4,3
5,7
8,8
8,8
9,7
10,8
2,2
2,2
2,3
3,5
14,13
14,14
1,2
1,4
1,5
1,6
4,7
7,7
9,7
11,8
19,15
20,16
23,17
23,17
25,17
25,17
29,19
31,20
4,9
5,10
7,9
19,25
3,10
3,13
3,13
8,15
11,19
11,22
13,24
9,22
11,25
12,27
18,39
29,43
30,43
31,45
31,45
30,44
1,4
1,5
6,8
8,9
16,23
3,1
9,8
9,8
11,9
12,9
15,14
16,14
17,15
17,17
21,18
19,19
37,28
37,28
37,33
37,33
37,33
38,35
38,32
44,36
24,26
34,38
36,43
36,44
36,44
39,47
39,46
40,46
43,47
44,47
48,48
54,51
55,53
66,58
65,63
21,21
21,21
23,30
22,28
26,28
26,28
28,30
27,31
29,38
29,38
46,56
0,0
3,0
11,9
17,11
24,15
24,13
25,16
27,18
30,26
31,29
34,29
37,33
37,32
37,33
4,4
4,5
11,8
14,9
14,6
0,0
3,1
3,1
8,4
14,4
14,4
14,7
2,3
6,10
7,14
22,19
13,11
16,12
16,15
18,17
18,18
24,19
24,16
27,24
27,26
28,30
29,32
29,32
39,40
39,37
39,37
39,38
16,19
17,21
21,25
25,26
8,8
10,6
16,9
17,10
16,9
17,9
24,18
1,1
1,1
3,4
8,7
10,11
22,19
22,20
21,19
20,22
0,3
1,5
1,5
2,5
5,10
13,19
17,22
15,21
21,25
22,25
25,26
30,34
3,1
5,2
0,0
0,2
4,5
5,7
8,7
11,9
11,9
13,10
16,13
17,15
19,15
3,2
5,4
6,6
10,11
10,11
12,16
14,18
2,1
1,1
3,5
10,8
10,8
11,11
16,8
16,8
15,8
15,8
16,9
24,11
35,21
31,22
29,25
31,25
31,25
32,26
33,26
37,28
38,31
2,2
1,1
5,4
9,4
8,4
12,9
17,11
18,13
0,2
10,11
11,12
14,19
14,19
15,19
15,21
15,18
18,20
18,18
19,18
32,21
32,21
40,33
1,4
2,5
6,8
7,9
13,17
14,17
14,19
14,20
17,21
18,23
18,23
20,23
20,25
21,28
22,43
20,38
20,38
21,34
23,38
24,38
24,38
22,32
22,32
28,45
28,47
3,2
3,3
6,13
6,13
7,13
10,23
11,22
14,21
16,25
11,12
13,15
14,17
20,18
24,23
26,27
26,28
20,22
18,20
19,20
23,26
24,26
24,26
24,26
24,26
24,26
24,29
6,3
9,8
13,8
19,13
7,14
4,3
9,6
13,7
16,8
18,14
19,14
16,15
25,26
25,26
27,30
29,33
12,9
32,25
32,25
2,2
2,3
4,3
6,7
8,9
8,11
8,11
12,15
3,3
5,4
9,6
13,8
14,9
20,11
20,13
20,13
31,18
32,20
36,27
38,28
38,28
38,28
41,31
1,4
5,6
10,8
10,8
5,6
5,6
2,3
8,3
17,15
18,16
18,19
19,21
18,19
